gridID,poly
2119,"POLYGON ((110 -60, 115 -60, 115 -65, 110 -65, 110 -60))"
2120,"POLYGON ((110 -65, 115 -65, 115 -70, 110 -70, 110 -65))"
2121,"POLYGON ((110 -70, 115 -70, 115 -75, 110 -75, 110 -70))"
2122,"POLYGON ((110 -75, 115 -75, 115 -80, 110 -80, 110 -75))"
2123,"POLYGON ((110 -80, 115 -80, 115 -85, 110 -85, 110 -80))"
2124,"POLYGON ((110 -85, 115 -85, 115 -90, 110 -90, 110 -85))"
2125,"POLYGON ((115 90, 120 90, 120 85, 115 85, 115 90))"
2126,"POLYGON ((115 85, 120 85, 120 80, 115 80, 115 85))"
2127,"POLYGON ((115 80, 120 80, 120 75, 115 75, 115 80))"
2128,"POLYGON ((115 75, 120 75, 120 70, 115 70, 115 75))"
2129,"POLYGON ((115 70, 120 70, 120 65, 115 65, 115 70))"
2130,"POLYGON ((115 65, 120 65, 120 60, 115 60, 115 65))"
2131,"POLYGON ((115 60, 120 60, 120 55, 115 55, 115 60))"
2132,"POLYGON ((115 55, 120 55, 120 50, 115 50, 115 55))"
2133,"POLYGON ((115 50, 120 50, 120 45, 115 45, 115 50))"
2134,"POLYGON ((115 45, 120 45, 120 40, 115 40, 115 45))"
2135,"POLYGON ((115 40, 120 40, 120 35, 115 35, 115 40))"
2136,"POLYGON ((115 35, 120 35, 120 30, 115 30, 115 35))"
2137,"POLYGON ((115 30, 120 30, 120 25, 115 25, 115 30))"
2138,"POLYGON ((115 25, 120 25, 120 20, 115 20, 115 25))"
2139,"POLYGON ((115 20, 120 20, 120 15, 115 15, 115 20))"
2140,"POLYGON ((115 15, 120 15, 120 10, 115 10, 115 15))"
2141,"POLYGON ((115 10, 120 10, 120 5, 115 5, 115 10))"
2142,"POLYGON ((115 5, 120 5, 120 0, 115 0, 115 5))"
2143,"POLYGON ((115 0, 120 0, 120 -5, 115 -5, 115 0))"
2144,"POLYGON ((115 -5, 120 -5, 120 -10, 115 -10, 115 -5))"
2145,"POLYGON ((115 -10, 120 -10, 120 -15, 115 -15, 115 -10))"
2146,"POLYGON ((115 -15, 120 -15, 120 -20, 115 -20, 115 -15))"
2147,"POLYGON ((115 -20, 120 -20, 120 -25, 115 -25, 115 -20))"
2148,"POLYGON ((115 -25, 120 -25, 120 -30, 115 -30, 115 -25))"
2149,"POLYGON ((115 -30, 120 -30, 120 -35, 115 -35, 115 -30))"
2150,"POLYGON ((115 -35, 120 -35, 120 -40, 115 -40, 115 -35))"
2151,"POLYGON ((115 -40, 120 -40, 120 -45, 115 -45, 115 -40))"
2152,"POLYGON ((115 -45, 120 -45, 120 -50, 115 -50, 115 -45))"
2153,"POLYGON ((115 -50, 120 -50, 120 -55, 115 -55, 115 -50))"
2154,"POLYGON ((115 -55, 120 -55, 120 -60, 115 -60, 115 -55))"
2155,"POLYGON ((115 -60, 120 -60, 120 -65, 115 -65, 115 -60))"
2156,"POLYGON ((115 -65, 120 -65, 120 -70, 115 -70, 115 -65))"
2157,"POLYGON ((115 -70, 120 -70, 120 -75, 115 -75, 115 -70))"
2158,"POLYGON ((115 -75, 120 -75, 120 -80, 115 -80, 115 -75))"
2159,"POLYGON ((115 -80, 120 -80, 120 -85, 115 -85, 115 -80))"
2160,"POLYGON ((115 -85, 120 -85, 120 -90, 115 -90, 115 -85))"
2161,"POLYGON ((120 90, 125 90, 125 85, 120 85, 120 90))"
2162,"POLYGON ((120 85, 125 85, 125 80, 120 80, 120 85))"
